"Name","Rating","Reviews"
"From API to usable PowerShell module a case study.","5/5","-"
"From API to usable PowerShell module a case study.","5/5","-"
"From API to usable PowerShell module a case study.","3/5","Didnt make it throught the content. Missed the wow take away from this demo. "
"From API to usable PowerShell module a case study.","5/5","Helped me fill in the gaps in my knowledge of working with APIs."
"From API to usable PowerShell module a case study.","3/5","-"
"From API to usable PowerShell module a case study.","4/5","A little advanced for me right now, but a great talk nevertheless. "
