"Name","Rating","Reviews"
"On-Ramp","5/5","""I enjoyed the class but have a couple suggestions.  Post a rough agenda or description of the course topics online so people have a better idea what to expect.\nMix the career stuff from the first day ghroughout the confetence to serve as a little ‘break’ from the more technical materials."""
"On-Ramp","4/5","The teaching of all material in on ramp was done reall well and gave me a steong foubdation for many different things. However, i found that there was a lot of soft skill and would have perfered if more time was spent on either power shell or other aspects related to it. "
