"Name","Rating","Reviews"
"PowerShell Prompt Customization Rodeo","4/5","A little disorganized, but lots of great information, looking forward to playing with my prompt using the tips here."
"PowerShell Prompt Customization Rodeo","5/5","Exactly what i wanted from this session "
