"Name","Rating","Reviews"
"DevSecOps as an approach to building and deploying secure applications by shifting left","3/5","-"
"DevSecOps as an approach to building and deploying secure applications by shifting left","5/5","-"
"DevSecOps as an approach to building and deploying secure applications by shifting left","3/5","-"
"DevSecOps as an approach to building and deploying secure applications by shifting left","5/5","-"
"DevSecOps as an approach to building and deploying secure applications by shifting left","4/5","It might have been nice if it was a longer presentation because there was a lot of information to get through."
