"Name","Rating","Reviews"
"Deploying Applications in Kubernetes - Windows Edition!","5/5","I love the presentations about real life use cases like this."
"Deploying Applications in Kubernetes - Windows Edition!","5/5","Great presentation. Clear and concise delivery."
"Deploying Applications in Kubernetes - Windows Edition!","5/5","-"
"Deploying Applications in Kubernetes - Windows Edition!","5/5","-"
"Deploying Applications in Kubernetes - Windows Edition!","5/5","Great demo."
"Deploying Applications in Kubernetes - Windows Edition!","4/5","A reinforcement of ""Just because doesn't mean you should!"" Thank you Anthony."
"Deploying Applications in Kubernetes - Windows Edition!","5/5","-"
"Deploying Applications in Kubernetes - Windows Edition!","5/5","-"
"Deploying Applications in Kubernetes - Windows Edition!","5/5","-"
