"Name","Rating","Reviews"
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","4/5","Lots of very technical information. Sadly he kept getting interrupted with questions."
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","-"
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","I didn't know Sampler was a thing."
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","-"
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","Quite possibly the most useful session for me at the summit, and definitely the best take on DSC I’ve seen yet. So good."
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","Quite possibly the most useful session for me at the summit, and definitely the best take on DSC I’ve seen yet. So good."
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","4/5","Quite possibly the most useful session for me at the summit, and definitely the best take on DSC I’ve seen yet. So good."
"Writing DSC Resources for Azure Policy Guest Configuration - For Linux!","5/5","-"
