"Name","Rating","Reviews"
"Community and Team Lightning Demos","5/5","Lightning demos are awesome"
"Community and Team Lightning Demos","5/5","-"
"Community and Team Lightning Demos","5/5","Always love this session, some bits obviously more interesting than others, but what I didn’t care about was soon over and someone elses highlight -)"
"Community and Team Lightning Demos","5/5","-"
"Community and Team Lightning Demos","5/5","-"
"Community and Team Lightning Demos","5/5","Really enjoyed these sessions."
