"Name","Rating","Reviews"
"Build a command-line for Azure with Go!","5/5","-"
"Build a command-line for Azure with Go!","1/5","Virtual presenter running a pre-recorded session that the demo was unreadable."
"Build a command-line for Azure with Go!","3/5","The presentation was well constructed but I didn’t get any reason or practical application. "
