"Name","Rating","Reviews"
"Empowering IT Teams Safely and Effectively with System Frontier 2.0","4/5","-"
"Empowering IT Teams Safely and Effectively with System Frontier 2.0","4/5","-"
"Empowering IT Teams Safely and Effectively with System Frontier 2.0","5/5","The new version is looking great! "
"Empowering IT Teams Safely and Effectively with System Frontier 2.0","4/5","Speaker clearly knows the product, since he wrote it. It has a lot to offer. Probably could have structured the talk a little more clearly."
