"Name","Rating","Reviews"
"AutoRest The Module Generator","4/5","Solid material, very down to earth delivery"
"AutoRest The Module Generator","5/5","very well structured and clear presentation. awesome presentation"
"AutoRest The Module Generator","5/5","I will totally use this when I get home. It will be incredibly helpful. "
"AutoRest The Module Generator","5/5","I will definitely use this!"
"AutoRest The Module Generator","5/5","-"
"AutoRest The Module Generator","5/5","-"
"AutoRest The Module Generator","5/5","Great stuff!"
