"Name","Rating","Reviews"
"I like good Docs, and I cannot lie","5/5","-"
"I like good Docs, and I cannot lie","5/5","Great material. Good delivery. Thanks!"
"I like good Docs, and I cannot lie","5/5","-"
"I like good Docs, and I cannot lie","5/5","Extremely helpful tools presented"
"I like good Docs, and I cannot lie","3/5","Really useful info, but not enough content and seemed a bit disorganized."
"I like good Docs, and I cannot lie","5/5","The content was great, shows good example. "
"I like good Docs, and I cannot lie","4/5","-"
"I like good Docs, and I cannot lie","3/5","-"
