"Name","Rating","Reviews"
"Using GIT worktree to supercharge your development experience","4/5","-"
"Using GIT worktree to supercharge your development experience","3/5","-"
"Using GIT worktree to supercharge your development experience","3/5","-"
"Using GIT worktree to supercharge your development experience","3/5","-"
"Using GIT worktree to supercharge your development experience","3/5","-"
"Using GIT worktree to supercharge your development experience","5/5","It was great to have this capability highlighted. Cory was clearly passionate about bringing attention to it and I enjoyed the presentation."
