"Name","Rating","Reviews"
"Wrangling Your Windows Infrastructure With Ansible","5/5","Great presentation. Very helpful for my new work with ansible."
"Wrangling Your Windows Infrastructure With Ansible","5/5","-"
"Wrangling Your Windows Infrastructure With Ansible","2/5","The virtual instructor was more difficult to follow than an in person instructor"
"Wrangling Your Windows Infrastructure With Ansible","4/5","-"
"Wrangling Your Windows Infrastructure With Ansible","4/5","-"
"Wrangling Your Windows Infrastructure With Ansible","5/5","This was a cool overview of Ansible. The virtual session actually worked out well."
"Wrangling Your Windows Infrastructure With Ansible","5/5","-"
"Wrangling Your Windows Infrastructure With Ansible","4/5","-"
