"Name","Rating","Reviews"
"Build a PowerShell Editor in 90 Minutes","5/5","Great session! Tons of great content."
"Build a PowerShell Editor in 90 Minutes","4/5","-"
"Build a PowerShell Editor in 90 Minutes","5/5","-"
"Build a PowerShell Editor in 90 Minutes","5/5","great depth and interesting LPS and DPS overview"
"Build a PowerShell Editor in 90 Minutes","3/5","-"
"Build a PowerShell Editor in 90 Minutes","5/5","-"
"Build a PowerShell Editor in 90 Minutes","5/5","-"
"Build a PowerShell Editor in 90 Minutes","5/5","It was awesome to see kind of an under the hood for things I take I take for granted."
