"Name","Rating","Reviews"
"Let Azure control your Azure DevOps Pipelines","5/5","-"
"Let Azure control your Azure DevOps Pipelines","5/5","Great knowledge tranfert, presentation was full of demos and the speaker was funny. Really enjoyed it!"
"Let Azure control your Azure DevOps Pipelines","4/5","-"
"Let Azure control your Azure DevOps Pipelines","4/5","Sad to see most of the demo is classic ADO, but good info."
"Let Azure control your Azure DevOps Pipelines","5/5","-"
